model,sparsity,pruning_data,dataset,acc,bleu,ppl,f1,dataset_group,pruning_group,metric,value,percentage,percentage_wrt_task
Phi,0.3,Wikitext,e-SNLI,0.6975773615635179,,,,NLI,Language Modeling,acc,0.698,1.0494640122511485,0.9947114525638735
Phi,0.3,Wikitext,MAWPS,0.573076923076923,,,,Mathematical Reasoning,Language Modeling,acc,0.573,0.9834983498349834,0.9955655346618019
Phi,0.3,Wikitext,RACE,0.755776246453182,,,,Question Answering,Language Modeling,acc,0.756,0.9807995791688584,1.021266331658291
Phi,0.3,Wikitext,RTE,0.7328519855595668,,,,NLI,Language Modeling,acc,0.733,0.9354838709677419,0.9947114525638735
Phi,0.3,Wikitext,SVAMP,0.5366666666666666,,,,Mathematical Reasoning,Language Modeling,acc,0.537,0.9817073170731707,0.9955655346618019
Phi,0.3,Wikitext,WinoGrande,0.5682715074980268,,,,Question Answering,Language Modeling,acc,0.568,1.0027855153203342,1.021266331658291
Phi,0.3,WinoGrande,ANLI,0.441,,,,NLI,Question Answering,acc,0.441,1.0835380835380837,0.9962926567804181
Phi,0.3,WinoGrande,BoolQ,0.4376146788990825,,,,Question Answering,Question Answering,acc,0.438,1.2378892733564013,1.0
Phi,0.3,WinoGrande,CommonsenseQA,0.7084357084357085,,,,Question Answering,Question Answering,acc,0.708,0.9942528735632185,1.0
Phi,0.3,WinoGrande,e-SNLI,0.6745724755700325,,,,NLI,Question Answering,acc,0.675,1.014854517611026,0.9962926567804181
Phi,0.3,WinoGrande,MAWPS,0.5615384615384615,,,,Mathematical Reasoning,Question Answering,acc,0.562,0.9636963696369636,0.9927027785573954
Phi,0.3,WinoGrande,RACE,0.7535468179975678,,,,Question Answering,Question Answering,acc,0.754,0.9779063650710151,1.0
Phi,0.3,WinoGrande,RTE,0.7581227436823105,,,,NLI,Question Answering,acc,0.758,0.9677419354838709,0.9962926567804181
Phi,0.3,WinoGrande,SVAMP,0.5433333333333333,,,,Mathematical Reasoning,Question Answering,acc,0.543,0.9939024390243903,0.9927027785573954
Phi,0.3,WinoGrande,WinoGrande,0.5611681136543015,,,,Question Answering,Question Answering,acc,0.561,0.9902506963788301,1.0
Phi,0.3,WMT14,ANLI,0.428,,,,NLI,Translation,acc,0.428,1.0515970515970516,0.9725745935322495
Phi,0.3,WMT14,BoolQ,0.4795107033639144,,,,Question Answering,Translation,acc,0.48,1.3564013840830451,1.0172864321608042
Phi,0.3,WMT14,CommonsenseQA,0.7133497133497133,,,,Question Answering,Translation,acc,0.713,1.0011494252873563,1.0172864321608042
Phi,0.3,WMT14,e-SNLI,0.6960504885993485,,,,NLI,Translation,acc,0.696,1.047166921898928,0.9725745935322495
Phi,0.3,WMT14,MAWPS,0.5634615384615385,,,,Mathematical Reasoning,Translation,acc,0.563,0.9669966996699669,0.9969127140050519
Phi,0.3,WMT14,RACE,0.752736116740981,,,,Question Answering,Translation,acc,0.753,0.9768542872172541,1.0172864321608042
Phi,0.3,WMT14,RTE,0.6714801444043321,,,,NLI,Translation,acc,0.671,0.8571428571428571,0.9725745935322495
Phi,0.3,WMT14,SVAMP,0.5333333333333333,,,,Mathematical Reasoning,Translation,acc,0.533,0.9756097560975611,0.9969127140050519
Phi,0.3,WMT14,WinoGrande,0.56353591160221,,,,Question Answering,Translation,acc,0.564,0.9944289693593314,1.0172864321608042
Phi,0.3,ANLI,IWSLT,,0.3377846088119886,,,Translation,NLI,bleu,0.338,0.9743566175566216,0.9909774436090224
Phi,0.3,ANLI,WMT14,,0.3201937932479705,,,Translation,NLI,bleu,0.32,0.9636368598452865,0.9909774436090224
Phi,0.3,BoolQ,IWSLT,,0.3394790385897127,,,Translation,Question Answering,bleu,0.339,0.9792442850933903,0.994736842105263
Phi,0.3,BoolQ,WMT14,,0.3213752519831357,,,Translation,Question Answering,bleu,0.321,0.9671925102345172,0.994736842105263
Phi,0.3,C4,IWSLT,,0.3375974743627186,,,Translation,Language Modeling,bleu,0.338,0.9738168188675685,0.9912781954887218
Phi,0.3,C4,WMT14,,0.3219635382801298,,,Translation,Language Modeling,bleu,0.322,0.9689629829041306,0.9912781954887218
Phi,0.3,CommonsenseQA,IWSLT,,0.3392282397886218,,,Translation,Question Answering,bleu,0.339,0.9785208433937297,0.994736842105263
Phi,0.3,CommonsenseQA,WMT14,,0.3210467131847158,,,Translation,Question Answering,bleu,0.321,0.9662037587261407,0.994736842105263
Phi,0.3,DS1000,IWSLT,,0.3367787473380485,,,Translation,Coding,bleu,0.337,0.9714551597698808,0.9939849624060151
Phi,0.3,DS1000,WMT14,,0.3229877533667963,,,Translation,Coding,bleu,0.323,0.9720454018352095,0.9939849624060151
Phi,0.3,e-SNLI,IWSLT,,0.3382357609334294,,,Translation,NLI,bleu,0.338,0.9756579884408564,0.9909774436090224
Phi,0.3,e-SNLI,WMT14,,0.3188978980016432,,,Translation,NLI,bleu,0.319,0.9597368079011436,0.9909774436090224
Phi,0.3,GSM8K,IWSLT,,0.3381307524785537,,,Translation,Mathematical Reasoning,bleu,0.338,0.975355086294819,0.9939849624060151
Phi,0.3,GSM8K,WMT14,,0.3220004124842037,,,Translation,Mathematical Reasoning,bleu,0.322,0.9690739573919951,0.9939849624060151
Phi,0.3,IWSLT,IWSLT,,0.3422248737469715,,,Translation,Translation,bleu,0.342,0.987164784093047,1.0
Phi,0.3,IWSLT,WMT14,,0.324903297404891,,,Translation,Translation,bleu,0.325,0.9778103132129119,1.0
Phi,0.3,MAWPS,IWSLT,,0.3389644791066488,,,Translation,Mathematical Reasoning,bleu,0.339,0.9777600124996415,0.9939849624060151
Phi,0.3,MAWPS,WMT14,,0.3223917533200761,,,Translation,Mathematical Reasoning,bleu,0.322,0.9702517143072181,0.9939849624060151
Phi,0.3,MBPP,IWSLT,,0.3400084233357737,,,Translation,Coding,bleu,0.34,0.98077132190058,0.9939849624060151
Phi,0.3,MBPP,WMT14,,0.3203831481766152,,,Translation,Coding,bleu,0.32,0.9642067315688588,0.9939849624060151
Phi,0.3,RefineCode,IWSLT,,0.3412409470474197,,,Translation,Coding,bleu,0.341,0.9843265982613397,0.9939849624060151
Phi,0.3,RefineCode,WMT14,,0.3218764227623105,,,Translation,Coding,bleu,0.322,0.9687008050424561,0.9939849624060151
Phi,0.3,OSCAR,IWSLT,,0.3370391049356072,,,Translation,Language Modeling,bleu,0.337,0.9722061742965776,0.9912781954887218
Phi,0.3,OSCAR,WMT14,,0.3235675798576686,,,Translation,Language Modeling,bleu,0.324,0.9737904143579431,0.9912781954887218
Phi,0.3,Pile,IWSLT,,0.334269393707522,,,Translation,Language Modeling,bleu,0.334,0.9642168035751078,0.9912781954887218
Phi,0.3,Pile,WMT14,,0.3212302175570929,,,Translation,Language Modeling,bleu,0.321,0.9667560229514139,0.9912781954887218
Phi,0.3,RACE,IWSLT,,0.3388115397606687,,,Translation,Question Answering,bleu,0.339,0.9773188512982339,0.994736842105263
Phi,0.3,RACE,WMT14,,0.322510185030435,,,Translation,Question Answering,bleu,0.323,0.9706081395842939,0.994736842105263
Phi,0.3,RedPajama,IWSLT,,0.340362666378816,,,Translation,Language Modeling,bleu,0.34,0.9817931536957752,0.9912781954887218
Phi,0.3,RedPajama,WMT14,,0.3228532986492448,,,Translation,Language Modeling,bleu,0.323,0.971640754635467,0.9912781954887218
Phi,0.3,RTE,IWSLT,,0.3391850802638098,,,Translation,NLI,bleu,0.339,0.97839634758334,0.9909774436090224
Phi,0.3,RTE,WMT14,,0.3232191446092339,,,Translation,NLI,bleu,0.323,0.9727417836357323,0.9909774436090224
Phi,0.3,SVAMP,IWSLT,,0.3406251082920757,,,Translation,Mathematical Reasoning,bleu,0.341,0.9825501805354769,0.9939849624060151
Phi,0.3,SVAMP,WMT14,,0.321318676195369,,,Translation,Mathematical Reasoning,bleu,0.321,0.9670222429913151,0.9939849624060151
Phi,0.3,Wikitext,IWSLT,,0.3376287585712205,,,Translation,Language Modeling,bleu,0.338,0.9739070597334447,0.9912781954887218
Phi,0.3,Wikitext,WMT14,,0.3193153622084096,,,Translation,Language Modeling,bleu,0.319,0.9609931842138306,0.9912781954887218
Phi,0.3,WinoGrande,IWSLT,,0.3413359626757479,,,Translation,Question Answering,bleu,0.341,0.9846006755988433,0.994736842105263
Phi,0.3,WinoGrande,WMT14,,0.3229104050344836,,,Translation,Question Answering,bleu,0.323,0.9718126187343629,0.994736842105263
Phi,0.3,WMT14,IWSLT,,0.3412934844679179,,,Translation,Translation,bleu,0.341,0.9844781450814031,1.0
Phi,0.3,WMT14,WMT14,,0.3217939442632568,,,Translation,Translation,bleu,0.322,0.9684525824862766,1.0
Phi,0.3,ANLI,DS1000,,,,0.8370874524116516,Coding,NLI,f1,0.837,0.9940692755446094,1.0032011134307584
Phi,0.3,ANLI,MBPP,,,,0.7845113277435303,Coding,NLI,f1,0.785,0.9888572165061923,1.0032011134307584
Phi,0.3,ANLI,RefineCode,,,,0.7804688215255737,Coding,NLI,f1,0.78,0.9994469268029071,1.0032011134307584
Phi,0.3,BoolQ,DS1000,,,,0.8260061144828796,Coding,Question Answering,f1,0.826,0.9809098170732354,1.00125260960334
Phi,0.3,BoolQ,MBPP,,,,0.7876392006874084,Coding,Question Answering,f1,0.788,0.9927998233539033,1.00125260960334
Phi,0.3,BoolQ,RefineCode,,,,0.7789192795753479,Coding,Question Answering,f1,0.779,0.9974626259603979,1.00125260960334
Phi,0.3,C4,DS1000,,,,0.8325544595718384,Coding,Language Modeling,f1,0.833,0.9886861953236123,0.9989979123173279
Phi,0.3,C4,MBPP,,,,0.7831804752349854,Coding,Language Modeling,f1,0.783,0.987179709680427,0.9989979123173279
Phi,0.3,C4,RefineCode,,,,0.779773473739624,Coding,Language Modeling,f1,0.78,0.9985564835352719,0.9989979123173279
Phi,0.3,CommonsenseQA,DS1000,,,,0.8322784900665283,Coding,Question Answering,f1,0.832,0.9883584723295266,1.00125260960334
Phi,0.3,CommonsenseQA,MBPP,,,,0.7920655012130737,Coding,Question Answering,f1,0.792,0.9983790662053974,1.00125260960334
Phi,0.3,CommonsenseQA,RefineCode,,,,0.7790846824645996,Coding,Question Answering,f1,0.779,0.9976744363553651,1.00125260960334
Phi,0.3,DS1000,DS1000,,,,0.8282743692398071,Coding,Coding,f1,0.828,0.9836034452676057,1.0
Phi,0.3,DS1000,MBPP,,,,0.7854154109954834,Coding,Coding,f1,0.785,0.9899967911896933,1.0
Phi,0.3,DS1000,RefineCode,,,,0.7788683176040649,Coding,Coding,f1,0.779,0.997397365460327,1.0
Phi,0.3,e-SNLI,DS1000,,,,0.8302279710769653,Coding,NLI,f1,0.83,0.9859234126227148,1.0032011134307584
Phi,0.3,e-SNLI,MBPP,,,,0.787314772605896,Coding,NLI,f1,0.787,0.9923908897435199,1.0032011134307584
Phi,0.3,e-SNLI,RefineCode,,,,0.7789611220359802,Coding,NLI,f1,0.779,0.9975162082657194,1.0032011134307584
Phi,0.3,GSM8K,DS1000,,,,0.8381342887878418,Coding,Mathematical Reasoning,f1,0.838,0.9953124286645075,1.0018093249826028
Phi,0.3,GSM8K,MBPP,,,,0.7876631617546082,Coding,Mathematical Reasoning,f1,0.788,0.992830025689265,1.0018093249826028
Phi,0.3,GSM8K,RefineCode,,,,0.7770431041717529,Coding,Mathematical Reasoning,f1,0.777,0.9950600472928723,1.0018093249826028
Phi,0.3,IWSLT,DS1000,,,,0.8245407938957214,Coding,Translation,f1,0.825,0.9791696999918954,0.9968684759916493
Phi,0.3,IWSLT,MBPP,,,,0.7845290899276733,Coding,Translation,f1,0.785,0.9888796053020575,0.9968684759916493
Phi,0.3,IWSLT,RefineCode,,,,0.7771298885345459,Coding,Translation,f1,0.777,0.9951711809631687,0.9968684759916493
Phi,0.3,MAWPS,DS1000,,,,0.8399096727371216,Coding,Mathematical Reasoning,f1,0.84,0.9974207563322913,1.0018093249826028
Phi,0.3,MAWPS,MBPP,,,,0.781033456325531,Coding,Mathematical Reasoning,f1,0.781,0.9844734451976747,1.0018093249826028
Phi,0.3,MAWPS,RefineCode,,,,0.7760986685752869,Coding,Mathematical Reasoning,f1,0.776,0.993850629019627,1.0018093249826028
Phi,0.3,MBPP,DS1000,,,,0.8301466107368469,Coding,Coding,f1,0.83,0.985826794504588,1.0
Phi,0.3,MBPP,MBPP,,,,0.7918345332145691,Coding,Coding,f1,0.792,0.9980879367289623,1.0
Phi,0.3,MBPP,RefineCode,,,,0.7782803773880005,Coding,Coding,f1,0.778,0.9966444653752975,1.0
Phi,0.3,RefineCode,DS1000,,,,0.8369715213775635,Coding,Coding,f1,0.837,0.9939316035740917,1.0
Phi,0.3,RefineCode,MBPP,,,,0.7806172966957092,Coding,Coding,f1,0.781,0.9839488862287794,1.0
Phi,0.3,RefineCode,RefineCode,,,,0.7751129269599915,Coding,Coding,f1,0.775,0.9925883153936925,1.0
Phi,0.3,OSCAR,DS1000,,,,0.828666090965271,Coding,Language Modeling,f1,0.829,0.9840686278846967,0.9989979123173279
Phi,0.3,OSCAR,MBPP,,,,0.781315267086029,Coding,Language Modeling,f1,0.781,0.9848286607240191,0.9989979123173279
Phi,0.3,OSCAR,RefineCode,,,,0.7778179049491882,Coding,Language Modeling,f1,0.778,0.996052235878162,0.9989979123173279
Phi,0.3,Pile,DS1000,,,,0.8312778472900391,Coding,Language Modeling,f1,0.831,0.9871701756503231,0.9989979123173279
Phi,0.3,Pile,MBPP,,,,0.7851176857948303,Coding,Language Modeling,f1,0.785,0.9896215159032952,0.9989979123173279
Phi,0.3,Pile,RefineCode,,,,0.7755428552627563,Coding,Language Modeling,f1,0.776,0.9931388697644669,0.9989979123173279
Phi,0.3,RACE,DS1000,,,,0.8317424654960632,Coding,Question Answering,f1,0.832,0.9877219252699556,1.00125260960334
Phi,0.3,RACE,MBPP,,,,0.7787888646125793,Coding,Question Answering,f1,0.779,0.9816441925980387,1.00125260960334
Phi,0.3,RACE,RefineCode,,,,0.7773907780647278,Coding,Question Answering,f1,0.777,0.9955052689266899,1.00125260960334
Phi,0.3,RedPajama,DS1000,,,,0.8329373002052307,Coding,Language Modeling,f1,0.833,0.9891408313475891,0.9989979123173279
Phi,0.3,RedPajama,MBPP,,,,0.7835626602172852,Coding,Language Modeling,f1,0.784,0.9876614444424661,0.9989979123173279
Phi,0.3,RedPajama,RefineCode,,,,0.7769016027450562,Coding,Language Modeling,f1,0.777,0.9948788444540787,0.9989979123173279
Phi,0.3,RTE,DS1000,,,,0.8379156589508057,Coding,NLI,f1,0.838,0.9950527984393873,1.0032011134307584
Phi,0.3,RTE,MBPP,,,,0.7923519015312195,Coding,NLI,f1,0.792,0.9987400667561768,1.0032011134307584
Phi,0.3,RTE,RefineCode,,,,0.7803519368171692,Coding,NLI,f1,0.78,0.9992972474571303,1.0032011134307584
Phi,0.3,SVAMP,DS1000,,,,0.836982250213623,Coding,Mathematical Reasoning,f1,0.837,0.9939443444248337,1.0018093249826028
Phi,0.3,SVAMP,MBPP,,,,0.7822504043579102,Coding,Mathematical Reasoning,f1,0.782,0.9860073782351904,1.0018093249826028
Phi,0.3,SVAMP,RefineCode,,,,0.7789178490638733,Coding,Mathematical Reasoning,f1,0.779,0.9974607940867117,1.0018093249826028
Phi,0.3,Wikitext,DS1000,,,,0.8320909142494202,Coding,Language Modeling,f1,0.832,0.988135719789054,0.9989979123173279
Phi,0.3,Wikitext,MBPP,,,,0.7828033566474915,Coding,Language Modeling,f1,0.783,0.9867043609843227,0.9989979123173279
Phi,0.3,Wikitext,RefineCode,,,,0.7783018946647644,Coding,Language Modeling,f1,0.778,0.9966720198086608,0.9989979123173279
Phi,0.3,WinoGrande,DS1000,,,,0.8352300524711609,Coding,Question Answering,f1,0.835,0.9918635511511535,1.00125260960334
Phi,0.3,WinoGrande,MBPP,,,,0.7931347489356995,Coding,Question Answering,f1,0.793,0.9997268266383696,1.00125260960334
Phi,0.3,WinoGrande,RefineCode,,,,0.7802745699882507,Coding,Question Answering,f1,0.78,0.9991981736219349,1.00125260960334
Phi,0.3,WMT14,DS1000,,,,0.825778067111969,Coding,Translation,f1,0.826,0.980639003212464,0.9968684759916493
Phi,0.3,WMT14,MBPP,,,,0.785003662109375,Coding,Translation,f1,0.785,0.9894777918546706,0.9968684759916493
Phi,0.3,WMT14,RefineCode,,,,0.7773159742355347,Coding,Translation,f1,0.777,0.9954094771985156,0.9968684759916493
Phi,0.5,ANLI,C4,,,12.12527561187744,,Language Modeling,NLI,ppl,12.125,0.741787359764888,1.0365148228488792
Phi,0.5,ANLI,OSCAR,,,7.805812835693359,,Language Modeling,NLI,ppl,7.806,0.7585318390204115,1.0365148228488792
Phi,0.5,ANLI,Pile,,,5.34113883972168,,Language Modeling,NLI,ppl,5.341,0.8082924299047065,1.0365148228488792
Phi,0.5,ANLI,RedPajama,,,8.702314376831055,,Language Modeling,NLI,ppl,8.702,0.8000377642262969,1.0365148228488792
Phi,0.5,ANLI,Wikitext,,,6.410700798034668,,Language Modeling,NLI,ppl,6.411,0.7538971783698177,1.0365148228488792
Phi,0.5,BoolQ,C4,,,11.62831211090088,,Language Modeling,Question Answering,ppl,11.628,0.7734894021398374,1.0298579932401755
Phi,0.5,BoolQ,OSCAR,,,7.55593729019165,,Language Modeling,Question Answering,ppl,7.556,0.7836165571402508,1.0298579932401755
Phi,0.5,BoolQ,Pile,,,5.237713813781738,,Language Modeling,Question Answering,ppl,5.238,0.8242531464505373,1.0298579932401755
Phi,0.5,BoolQ,RedPajama,,,8.605978965759277,,Language Modeling,Question Answering,ppl,8.606,0.8089933946311972,1.0298579932401755
Phi,0.5,BoolQ,Wikitext,,,6.283064842224121,,Language Modeling,Question Answering,ppl,6.283,0.7692120588239312,1.0298579932401755
Phi,0.5,C4,C4,,,11.567489624023438,,Language Modeling,Language Modeling,ppl,11.567,0.7775564513044018,1.0
Phi,0.5,C4,OSCAR,,,7.521567821502685,,Language Modeling,Language Modeling,ppl,7.522,0.7871972580478186,1.0
Phi,0.5,C4,Pile,,,5.221756458282471,,Language Modeling,Language Modeling,ppl,5.222,0.8267720116225118,1.0
Phi,0.5,C4,RedPajama,,,8.622366905212402,,Language Modeling,Language Modeling,ppl,8.622,0.8074557965545972,1.0
Phi,0.5,C4,Wikitext,,,6.463363170623779,,Language Modeling,Language Modeling,ppl,6.463,0.7477545536939155,1.0
Phi,0.5,CommonsenseQA,C4,,,12.42131519317627,,Language Modeling,Question Answering,ppl,12.421,0.7241081997095824,1.0298579932401755
Phi,0.5,CommonsenseQA,OSCAR,,,8.020140647888184,,Language Modeling,Question Answering,ppl,8.02,0.7382610636468937,1.0298579932401755
Phi,0.5,CommonsenseQA,Pile,,,5.520900249481201,,Language Modeling,Question Answering,ppl,5.521,0.7819742969677325,1.0298579932401755
Phi,0.5,CommonsenseQA,RedPajama,,,9.113883018493652,,Language Modeling,Question Answering,ppl,9.114,0.763909315437427,1.0298579932401755
Phi,0.5,CommonsenseQA,Wikitext,,,7.054018497467041,,Language Modeling,Question Answering,ppl,7.054,0.6851426948691605,1.0298579932401755
Phi,0.5,DS1000,C4,,,12.439948081970217,,Language Modeling,Coding,ppl,12.44,0.7230236109740773,1.081159932065446
Phi,0.5,DS1000,OSCAR,,,8.29326057434082,,Language Modeling,Coding,ppl,8.293,0.7139480922168223,1.081159932065446
Phi,0.5,DS1000,Pile,,,5.365553855895996,,Language Modeling,Coding,ppl,5.366,0.8046144363033534,1.081159932065446
Phi,0.5,DS1000,RedPajama,,,9.03620719909668,,Language Modeling,Coding,ppl,9.036,0.7704759291409635,1.081159932065446
Phi,0.5,DS1000,Wikitext,,,7.333500862121582,,Language Modeling,Coding,ppl,7.334,0.6590316594867468,1.081159932065446
Phi,0.5,e-SNLI,C4,,,12.705238342285156,,Language Modeling,NLI,ppl,12.705,0.707926600056086,1.0365148228488792
Phi,0.5,e-SNLI,OSCAR,,,8.19681167602539,,Language Modeling,NLI,ppl,8.197,0.7223488594505164,1.0365148228488792
Phi,0.5,e-SNLI,Pile,,,5.5705695152282715,,Language Modeling,NLI,ppl,5.571,0.7750019238455065,1.0365148228488792
Phi,0.5,e-SNLI,RedPajama,,,9.231274604797363,,Language Modeling,NLI,ppl,9.231,0.75419489027183,1.0365148228488792
Phi,0.5,e-SNLI,Wikitext,,,7.120582103729248,,Language Modeling,NLI,ppl,7.121,0.6787379420118325,1.0365148228488792
Phi,0.5,GSM8K,C4,,,12.128632545471191,,Language Modeling,Mathematical Reasoning,ppl,12.129,0.7415820496527975,1.0695656560560964
Phi,0.5,GSM8K,OSCAR,,,7.868346214294434,,Language Modeling,Mathematical Reasoning,ppl,7.868,0.7525034364338222,1.0695656560560964
Phi,0.5,GSM8K,Pile,,,5.416557788848877,,Language Modeling,Mathematical Reasoning,ppl,5.417,0.7970379454097045,1.0695656560560964
Phi,0.5,GSM8K,RedPajama,,,8.965211868286133,,Language Modeling,Mathematical Reasoning,ppl,8.965,0.7765773123848357,1.0695656560560964
Phi,0.5,GSM8K,Wikitext,,,6.801729202270508,,Language Modeling,Mathematical Reasoning,ppl,6.802,0.710555962945151,1.0695656560560964
Phi,0.5,IWSLT,C4,,,12.05734634399414,,Language Modeling,Translation,ppl,12.057,0.7459664776931885,1.026736619078848
Phi,0.5,IWSLT,OSCAR,,,7.818539619445801,,Language Modeling,Translation,ppl,7.819,0.7572971236957562,1.026736619078848
Phi,0.5,IWSLT,Pile,,,5.375255584716797,,Language Modeling,Translation,ppl,5.375,0.803162198183084,1.026736619078848
Phi,0.5,IWSLT,RedPajama,,,8.880119323730469,,Language Modeling,Translation,ppl,8.88,0.7840187596386397,1.026736619078848
Phi,0.5,IWSLT,Wikitext,,,6.786414623260498,,Language Modeling,Translation,ppl,6.786,0.7121594407813356,1.026736619078848
Phi,0.5,MAWPS,C4,,,13.203585624694824,,Language Modeling,Mathematical Reasoning,ppl,13.204,0.6812070931500503,1.0695656560560964
Phi,0.5,MAWPS,OSCAR,,,8.453024864196777,,Language Modeling,Mathematical Reasoning,ppl,8.453,0.700454294223851,1.0695656560560964
Phi,0.5,MAWPS,Pile,,,5.64715051651001,,Language Modeling,Mathematical Reasoning,ppl,5.647,0.7644921236994248,1.0695656560560964
Phi,0.5,MAWPS,RedPajama,,,9.34035873413086,,Language Modeling,Mathematical Reasoning,ppl,9.34,0.7453868032063463,1.0695656560560964
Phi,0.5,MAWPS,Wikitext,,,7.38008975982666,,Language Modeling,Mathematical Reasoning,ppl,7.38,0.6548713362972688,1.0695656560560964
Phi,0.5,MBPP,C4,,,12.57569694519043,,Language Modeling,Coding,ppl,12.576,0.7152189037122152,1.081159932065446
Phi,0.5,MBPP,OSCAR,,,8.407536506652832,,Language Modeling,Coding,ppl,8.408,0.7042440506350939,1.081159932065446
Phi,0.5,MBPP,Pile,,,5.413065433502197,,Language Modeling,Coding,ppl,5.413,0.7975521715472513,1.081159932065446
Phi,0.5,MBPP,RedPajama,,,9.23101043701172,,Language Modeling,Coding,ppl,9.231,0.7542164733905432,1.081159932065446
Phi,0.5,MBPP,Wikitext,,,7.709503173828125,,Language Modeling,Coding,ppl,7.71,0.626889844136566,1.081159932065446
Phi,0.5,RefineCode,C4,,,12.381913185119627,,Language Modeling,Coding,ppl,12.382,0.7264124734265979,1.081159932065446
Phi,0.5,RefineCode,OSCAR,,,8.26834487915039,,Language Modeling,Coding,ppl,8.268,0.7160994917178662,1.081159932065446
Phi,0.5,RefineCode,Pile,,,5.37229585647583,,Language Modeling,Coding,ppl,5.372,0.8036046797409777,1.081159932065446
Phi,0.5,RefineCode,RedPajama,,,9.205893516540527,,Language Modeling,Coding,ppl,9.206,0.7562742416176227,1.081159932065446
Phi,0.5,RefineCode,Wikitext,,,7.555778503417969,,Language Modeling,Coding,ppl,7.556,0.63964411355166,1.081159932065446
Phi,0.5,OSCAR,C4,,,11.653804779052734,,Language Modeling,Language Modeling,ppl,11.654,0.7717973960507042,1.0
Phi,0.5,OSCAR,OSCAR,,,7.494812965393066,,Language Modeling,Language Modeling,ppl,7.495,0.7900073814579964,1.0
Phi,0.5,OSCAR,Pile,,,5.2508111000061035,,Language Modeling,Language Modeling,ppl,5.251,0.8221971823004683,1.0
Phi,0.5,OSCAR,RedPajama,,,8.602537155151367,,Language Modeling,Language Modeling,ppl,8.603,0.8093170668219885,1.0
Phi,0.5,OSCAR,Wikitext,,,6.479825496673584,,Language Modeling,Language Modeling,ppl,6.48,0.7458548452412026,1.0
Phi,0.5,Pile,C4,,,11.84866428375244,,Language Modeling,Language Modeling,ppl,11.849,0.7591046524028663,1.0
Phi,0.5,Pile,OSCAR,,,7.676519870758057,,Language Modeling,Language Modeling,ppl,7.677,0.7713075280195846,1.0
Phi,0.5,Pile,Pile,,,5.143865585327148,,Language Modeling,Language Modeling,ppl,5.144,0.8392913888597399,1.0
Phi,0.5,Pile,RedPajama,,,8.73599910736084,,Language Modeling,Language Modeling,ppl,8.736,0.796952936014844,1.0
Phi,0.5,Pile,Wikitext,,,6.4879889488220215,,Language Modeling,Language Modeling,ppl,6.488,0.7449163802735776,1.0
Phi,0.5,RACE,C4,,,11.554113388061523,,Language Modeling,Question Answering,ppl,11.554,0.7784566310254267,1.0298579932401755
Phi,0.5,RACE,OSCAR,,,7.562063217163086,,Language Modeling,Question Answering,ppl,7.562,0.7829817597754584,1.0298579932401755
Phi,0.5,RACE,Pile,,,5.313604831695557,,Language Modeling,Question Answering,ppl,5.314,0.8124808351319256,1.0298579932401755
Phi,0.5,RACE,RedPajama,,,8.748467445373535,,Language Modeling,Question Answering,ppl,8.748,0.7958171166672281,1.0298579932401755
Phi,0.5,RACE,Wikitext,,,6.401115417480469,,Language Modeling,Question Answering,ppl,6.401,0.7550261052649143,1.0298579932401755
Phi,0.5,RedPajama,C4,,,11.87648105621338,,Language Modeling,Language Modeling,ppl,11.876,0.7573266980332186,1.0
Phi,0.5,RedPajama,OSCAR,,,7.647399425506592,,Language Modeling,Language Modeling,ppl,7.647,0.7742445811787045,1.0
Phi,0.5,RedPajama,Pile,,,5.277267932891846,,Language Modeling,Language Modeling,ppl,5.277,0.8180752135606072,1.0
Phi,0.5,RedPajama,RedPajama,,,8.514352798461914,,Language Modeling,Language Modeling,ppl,8.514,0.8176992781990393,1.0
Phi,0.5,RedPajama,Wikitext,,,6.517034530639648,,Language Modeling,Language Modeling,ppl,6.517,0.7415963841052586,1.0
Phi,0.5,RTE,C4,,,11.93073558807373,,Language Modeling,NLI,ppl,11.931,0.753882785865036,1.0365148228488792
Phi,0.5,RTE,OSCAR,,,7.698582172393799,,Language Modeling,NLI,ppl,7.699,0.7690971444767412,1.0365148228488792
Phi,0.5,RTE,Pile,,,5.321235179901123,,Language Modeling,NLI,ppl,5.321,0.811315783884835,1.0365148228488792
Phi,0.5,RTE,RedPajama,,,8.724414825439453,,Language Modeling,NLI,ppl,8.724,0.7980111304810164,1.0365148228488792
Phi,0.5,RTE,Wikitext,,,6.396124839782715,,Language Modeling,NLI,ppl,6.396,0.7556152145360031,1.0365148228488792
Phi,0.5,SVAMP,C4,,,12.41201114654541,,Language Modeling,Mathematical Reasoning,ppl,12.412,0.7246509913955019,1.0695656560560964
Phi,0.5,SVAMP,OSCAR,,,8.03032112121582,,Language Modeling,Mathematical Reasoning,ppl,8.03,0.737325130082863,1.0695656560560964
Phi,0.5,SVAMP,Pile,,,5.471484661102295,,Language Modeling,Mathematical Reasoning,ppl,5.471,0.7890366799177483,1.0695656560560964
Phi,0.5,SVAMP,RedPajama,,,9.16005039215088,,Language Modeling,Mathematical Reasoning,ppl,9.16,0.7600591524693,1.0695656560560964
Phi,0.5,SVAMP,Wikitext,,,6.933967590332031,,Language Modeling,Mathematical Reasoning,ppl,6.934,0.697004879248368,1.0695656560560964
